timestamp,z
1759998187.1799052,0.848
1759998187.1799052,0.76
1759998187.1799052,0.211
1759998187.2298062,-0.05
1759998187.2298062,0.83
1759998187.2298062,0.734
1759998187.2298062,0.186
1759998187.279257,-0.044
1759998187.279257,0.827
1759998187.279257,0.74
1759998187.279257,0.229
1759998187.3289316,-0.048
1759998187.3289316,0.836
1759998187.3289316,0.754
1759998187.3289316,0.179
1759998187.378724,-0.05
1759998187.378724,0.836
1759998187.378724,0.759
1759998187.378724,0.239
1759998187.4290283,-0.052
1759998187.4290283,0.836
1759998187.4290283,0.757
1759998187.4290283,0.158
1759998187.4790254,-0.045
1759998187.4790254,0.843
1759998187.4790254,0.759
1759998187.4790254,0.158
1759998187.5289621,-0.034
1759998187.5289621,0.851
1759998187.5289621,0.775
1759998187.5289621,0.276
1759998187.5794067,-0.035
1759998187.5794067,0.844
1759998187.5794067,0.773
1759998187.5794067,0.287
1759998187.6293807,-0.031
1759998187.6293807,0.842
1759998187.6293807,0.766
1759998187.6293807,0.182
1759998187.6794305,-0.043
1759998187.6794305,0.852
1759998187.6794305,0.768
1759998187.6794305,0.215
1759998187.7292407,-0.042
1759998187.7292407,0.834
1759998187.7292407,0.754
1759998187.7292407,0.21
1759998187.779467,-0.039
1759998187.779467,0.852
1759998187.779467,0.777
1759998187.779467,0.153
1759998187.8301802,-0.044
1759998187.8301802,0.843
1759998187.8301802,0.766
1759998187.8301802,0.168
1759998187.8800147,-0.046
1759998187.8800147,0.831
1759998187.8800147,0.752
1759998187.8800147,0.175
1759998187.9298823,-0.041
1759998187.9298823,0.839
1759998187.9298823,0.765
1759998187.9298823,0.194
1759998187.9795437,-0.048
1759998187.9795437,0.837
1759998187.9795437,0.769
1759998187.9795437,0.185
1759998188.0290937,-0.045
1759998188.0290937,0.845
1759998188.0290937,0.773
1759998188.0290937,0.215
1759998188.0784385,-0.051
1759998188.0784385,0.838
1759998188.0784385,0.757
1759998188.0784385,0.163
1759998188.1287723,-0.049
1759998188.1287723,0.836
1759998188.1287723,0.758
1759998188.1287723,0.204
1759998188.178867,-0.045
1759998188.178867,0.838
1759998188.178867,0.755
1759998188.178867,0.171
1759998188.2287323,-0.047
1759998188.2287323,0.833
1759998188.2287323,0.75
1759998188.2287323,0.176
1759998188.2794354,-0.041
1759998188.2794354,0.836
1759998188.2794354,0.754
1759998188.2794354,0.156
1759998188.3298771,-0.04
1759998188.3298771,0.84
1759998188.3298771,0.761
1759998188.3298771,0.179
1759998188.3793464,-0.047
1759998188.3793464,0.837
1759998188.3793464,0.759
1759998188.3793464,0.162
1759998188.4289827,-0.043
1759998188.4289827,0.83
1759998188.4289827,0.747
1759998188.4289827,0.173
1759998188.4789717,-0.048
1759998188.4789717,0.841
1759998188.4789717,0.752
1759998188.4789717,0.178
1759998188.5287766,-0.044
1759998188.5287766,0.833
1759998188.5287766,0.751
1759998188.5287766,0.238
1759998188.5789068,-0.042
1759998188.5789068,0.848
1759998188.5789068,0.772
1759998188.5789068,0.152
1759998188.6287153,-0.042
1759998188.6287153,0.834
1759998188.6287153,0.762
1759998188.6287153,0.176
1759998188.6787472,-0.044
1759998188.6787472,0.835
1759998188.6787472,0.761
1759998188.6787472,0.179
1759998188.7288647,-0.044
1759998188.7288647,0.832
1759998188.7288647,0.763
1759998188.7288647,0.151
1759998188.7789307,-0.041
1759998188.7789307,0.845
1759998188.7789307,0.78
1759998188.7789307,0.215
1759998188.8288815,-0.048
1759998188.8288815,0.829
1759998188.8288815,0.757
1759998188.8288815,0.175
1759998188.878436,-0.046
1759998188.878436,0.833
1759998188.878436,0.759
1759998188.878436,0.218
1759998188.9283435,-0.045
1759998188.9283435,0.838
1759998188.9283435,0.764
1759998188.9283435,0.233
1759998188.978492,-0.046
1759998188.978492,0.847
1759998188.978492,0.771
1759998188.978492,0.198
1759998189.0290456,-0.045
1759998189.0290456,0.838
1759998189.0290456,0.767
1759998189.0290456,0.195
1759998189.079094,-0.043
1759998189.079094,0.835
1759998189.079094,0.757
1759998189.079094,0.223
1759998189.1293476,-0.043
1759998189.1293476,0.829
1759998189.1293476,0.75
1759998189.1293476,0.176
1759998189.180336,-0.042
1759998189.180336,0.823
1759998189.180336,0.742
1759998189.180336,0.199
1759998189.229234,-0.046
1759998189.229234,0.819
1759998189.229234,0.731
1759998189.229234,0.197
1759998189.2789538,-0.042
1759998189.2789538,0.841
1759998189.2789538,0.755
1759998189.2789538,0.191
1759998189.3290427,-0.041
1759998189.3290427,0.831
1759998189.3290427,0.748
1759998189.3290427,0.196
1759998189.3790162,-0.039
1759998189.3790162,0.823
1759998189.3790162,0.738
1759998189.3790162,0.162
1759998189.4295185,-0.044
1759998189.4295185,0.82
1759998189.4295185,0.736
1759998189.4295185,0.229
1759998189.4795613,-0.042
1759998189.4795613,0.826
1759998189.4795613,0.741
1759998189.4795613,0.234
1759998189.5291734,-0.045
1759998189.5291734,0.819
1759998189.5291734,0.742
1759998189.5291734,0.187
1759998189.5788147,-0.044
1759998189.5788147,0.811
1759998189.5788147,0.729
1759998189.5788147,0.184
1759998189.6285086,-0.045
1759998189.6285086,0.83
1759998189.6285086,0.749
1759998189.6285086,0.175
1759998189.6788228,-0.044
1759998189.6788228,0.829
1759998189.6788228,0.75
1759998189.6788228,0.231
1759998189.7290313,-0.046
1759998189.7290313,0.819
1759998189.7290313,0.738
1759998189.7290313,0.202
1759998189.7788236,-0.047
1759998189.7788236,0.815
1759998189.7788236,0.733
1759998189.7788236,0.23
1759998189.8289862,-0.044
1759998189.8289862,0.826
1759998189.8289862,0.746
1759998189.8289862,0.136
1759998189.879564,-0.044
1759998189.879564,0.828
1759998189.879564,0.758
1759998189.879564,0.224
1759998189.9302378,-0.044
1759998189.9302378,0.824
1759998189.9302378,0.751
1759998189.9302378,0.181
1759998189.979908,-0.046
1759998189.979908,0.841
1759998189.979908,0.77
1759998189.979908,0.215
1759998190.0291128,-0.04
1759998190.0291128,0.852
1759998190.0291128,0.782
1759998190.0291128,0.15
1759998190.0788412,-0.042
1759998190.0788412,0.854
1759998190.0788412,0.781
1759998190.0788412,0.234
1759998190.129475,-0.041
1759998190.129475,0.838
1759998190.129475,0.766
1759998190.129475,0.207
1759998190.1796072,-0.044
1759998190.1796072,0.853
1759998190.1796072,0.785
1759998190.1796072,0.194
1759998190.229132,-0.041
1759998190.229132,0.841
1759998190.229132,0.77
1759998190.229132,0.167
1759998190.2789643,-0.037
1759998190.2789643,0.843
1759998190.2789643,0.77
1759998190.2789643,0.2
1759998191.279538,-0.044
1759998191.279538,0.844
1759998191.279538,0.779
1759998191.279538,0.185
1759998191.3292048,-0.039
1759998191.3292048,0.856
1759998191.3292048,0.781
1759998191.3292048,0.238
1759998191.3792925,-0.044
1759998191.3792925,0.833
1759998191.3792925,0.754
1759998191.3792925,0.154
1759998191.4285553,-0.04
1759998191.4285553,0.817
1759998191.4285553,0.726
1759998191.4285553,0.236
1759998191.478546,-0.045
1759998191.478546,0.83
1759998191.478546,0.752
1759998191.478546,0.229
1759998191.5288932,-0.045
1759998191.5288932,0.829
1759998191.5288932,0.746
1759998191.5288932,0.156
1759998191.5789728,-0.045
1759998191.5789728,0.827
1759998191.5789728,0.739
1759998191.5789728,0.233
1759998191.6289182,-0.041
1759998191.6289182,0.839
1759998191.6289182,0.765
1759998191.6289182,0.191
1759998191.6787672,-0.045
1759998191.6787672,0.845
1759998191.6787672,0.764
1759998191.6787672,0.205
1759998191.72841,-0.037
1759998191.72841,0.816
1759998191.72841,0.745
1759998191.72841,0.139
1759998191.7783208,-0.037
1759998191.7783208,0.848
1759998191.7783208,0.786
1759998191.7783208,0.172
1759998191.8292994,-0.039
1759998191.8292994,0.825
1759998191.8292994,0.746
1759998191.8292994,0.162
