timestamp,snr
1759998198.4281633,46.3
1759998198.5275035,42.4
1759998198.5275035,43.2
1759998198.627553,43.3
1759998198.7774498,44.5
1759998198.7774498,43.8
1759998198.7774498,43.8
1759998198.8764615,45.1
1759998198.9762537,44.7
1759998199.0766544,46.3
1759998199.0766544,44.5
1759998199.1268532,45.0
1759998199.2762127,44.6
1759998199.2762127,44.6
1759998199.426487,47.1
1759998199.5273192,47.6
1759998199.6771154,48.5
1759998199.7271626,45.6
1759998199.7271626,48.4
1759998199.7271626,48.4
1759998199.776704,45.5
1759998200.2267082,47.5
1759998200.9273355,45.2
1759998200.977459,45.4
1759998201.0270035,45.2
1759998201.0772142,27.1
1759998201.177813,44.9
1759998201.177813,27.4
1759998201.177813,48.0
1759998201.2772353,37.8
1759998201.2772353,37.8
1759998201.3774235,27.1
1759998201.4273722,45.5
1759998201.4776242,45.2
1759998201.5273607,48.0
1759998201.6275065,45.2
1759998201.8276327,28.1
1759998201.8276327,27.7
1759998202.5277555,31.8
1759998202.578016,30.3
1759998202.6795945,30.5
1759998202.6795945,26.6
1759998202.728733,30.3
1759998202.728733,27.7
1759998202.8282309,26.5
1759998202.978051,30.3
1759998203.0779364,30.5
1759998203.3780005,44.8
1759998203.6787117,44.7
1759998203.8284204,43.2
1759998204.1788492,25.1
1759998204.2783155,42.6
1759998204.5780315,42.7
1759998204.728383,40.5
1759998205.0280304,39.8
1759998205.3284822,40.1
1759998205.5783045,39.3
1759998205.8282485,38.9
1759998205.8783207,33.5
1759998205.9286337,37.2
1759998206.2783165,38.9
1759998207.0785143,27.1
1759998207.1286247,38.0
1759998207.3277555,35.6
1759998207.778297,27.5
1759998208.2782571,25.7
1759998208.2782571,35.2
1759998209.1284251,34.0
1759998209.278113,33.9
1759998210.0285385,31.7
1759998211.8279734,30.5
1759998212.1275187,30.3
1759998214.2285545,27.4
1759998214.2285545,27.4
1759998217.8284328,26.6
1759998219.428142,28.1
1759998219.428142,28.1
1759998219.9783607,28.9
1759998220.7280223,29.5
1759998221.128205,28.4
1759998221.4281332,28.2
1759998221.4281332,28.2
1759998222.2284117,29.0
1759998224.8783522,25.1
1759998224.9779558,32.8
1759998225.0275857,34.5
1759998225.4284375,33.4
1759998229.328751,33.7
1759998229.328751,40.3
1759998229.4784439,34.3
1759998229.7787309,27.6
1759998230.0283597,41.2
1759998230.3283064,29.8
1759998230.3780975,30.0
1759998230.4280155,33.2
1759998230.4280155,30.3
1759998230.4280155,42.6
1759998230.4789608,33.8
1759998230.5288088,34.4
1759998230.9783778,43.1
1759998231.1297271,33.7
1759998231.2287345,30.3
1759998231.6786404,29.9
1759998231.728301,30.0
1759998231.7783518,30.5
1759998231.8280818,30.6
1759998231.8777063,30.2
1759998232.4787931,30.3
1759998232.5281675,31.2
1759998232.9785454,30.1
1759998232.9785454,26.4
1759998233.1789858,25.2
1759998233.2795663,45.8
1759998233.3787768,45.9
1759998233.3787768,25.1
1759998233.428322,27.6
1759998233.4779646,45.3
1759998233.5279071,26.5
1759998233.5779593,45.5
1759998233.5779593,26.1
1759998233.828902,27.1
1759998233.8783062,26.8
1759998234.027781,46.3
1759998234.1279323,45.4
1759998234.8276157,26.1
1759998234.9273431,25.2
1759998234.9777231,27.7
1759998235.080109,26.1
1759998235.1297767,46.8
1759998235.1796224,46.0
1759998235.1796224,46.0
1759998235.2790754,38.1
1759998235.2790754,38.1
1759998235.3784807,38.4
1759998235.3784807,44.1
1759998235.4284995,43.9
