timestamp,x
1759998185.7297435,5.776
1759998185.7297435,9.628
1759998185.7297435,9.601
1759998185.7297435,16.595
1759998185.7792048,5.776
1759998185.7792048,9.625
1759998185.7792048,9.598
1759998185.7792048,16.594
1759998185.8290763,5.776
1759998185.8290763,9.627
1759998185.8290763,9.599
1759998185.8290763,16.593
1759998185.8788366,5.777
1759998185.8788366,9.625
1759998185.8788366,9.596
1759998185.8788366,16.595
1759998185.9289305,5.776
1759998185.9289305,9.624
1759998185.9289305,9.596
1759998185.9289305,16.596
1759998185.979141,5.775
1759998185.979141,9.626
1759998185.979141,9.599
1759998185.979141,16.593
1759998186.028737,5.774
1759998186.028737,9.626
1759998186.028737,9.597
1759998186.028737,16.594
1759998186.0785487,5.774
1759998186.0785487,9.625
1759998186.0785487,9.597
1759998186.0785487,16.594
1759998186.1293123,5.774
1759998186.1293123,9.626
1759998186.1293123,9.597
1759998186.1293123,16.594
1759998186.1808596,5.774
1759998186.1808596,9.626
1759998186.1808596,9.596
1759998186.1808596,16.595
1759998186.2303498,5.773
1759998186.2303498,9.625
1759998186.2303498,9.596
1759998186.2303498,16.593
1759998186.2797477,5.774
1759998186.2797477,9.626
1759998186.2797477,9.598
1759998186.2797477,16.595
1759998186.3291543,5.774
1759998186.3291543,9.624
1759998186.3291543,9.596
1759998186.3291543,16.594
1759998186.37923,5.773
1759998186.37923,9.624
1759998186.37923,9.596
1759998186.37923,16.595
1759998186.4291632,5.775
1759998186.4291632,9.625
1759998186.4291632,9.596
1759998186.4291632,16.594
1759998186.4790812,5.774
1759998186.4790812,9.626
1759998186.4790812,9.598
1759998186.4790812,16.595
1759998186.5288105,5.775
1759998186.5288105,9.625
1759998186.5288105,9.597
1759998186.5288105,16.593
1759998186.5788996,5.774
1759998186.5788996,9.624
1759998186.5788996,9.596
1759998186.5788996,16.594
1759998186.6290197,5.774
1759998186.6290197,9.625
1759998186.6290197,9.597
1759998186.6290197,16.594
1759998186.678913,5.773
1759998186.678913,9.626
1759998186.678913,9.597
1759998186.678913,16.593
1759998186.7290483,5.774
1759998186.7290483,9.626
1759998186.7290483,9.597
1759998186.7290483,16.593
1759998186.7796886,5.774
1759998186.7796886,9.625
1759998186.7796886,9.597
1759998186.7796886,16.594
1759998186.8291857,5.775
1759998186.8291857,9.625
1759998186.8291857,9.597
1759998186.8291857,16.595
1759998186.8789558,5.774
1759998186.8789558,9.624
1759998186.8789558,9.595
1759998186.8789558,16.594
1759998186.929142,5.774
1759998186.929142,9.627
1759998186.929142,9.598
1759998186.929142,16.594
1759998186.9790294,5.772
1759998186.9790294,9.626
1759998186.9790294,9.598
1759998186.9790294,16.595
1759998187.0287237,5.774
1759998187.0287237,9.627
1759998187.0287237,9.598
1759998187.0287237,16.594
1759998187.0785418,5.775
1759998187.0785418,9.625
1759998187.0785418,9.597
1759998187.0785418,16.594
1759998187.1290362,5.776
1759998187.1290362,9.626
1759998187.1290362,9.598
1759998187.1290362,16.595
1759998187.1799052,5.776
1759998187.1799052,9.626
1759998187.1799052,9.598
1759998187.1799052,16.594
1759998187.2298062,5.775
1759998187.2298062,9.627
1759998187.2298062,9.6
1759998187.2298062,16.593
1759998187.279257,5.773
1759998187.279257,9.626
1759998187.279257,9.599
1759998187.279257,16.593
1759998187.3289316,5.777
1759998187.3289316,9.627
1759998187.3289316,9.599
1759998187.3289316,16.594
1759998187.378724,5.774
1759998187.378724,9.627
1759998187.378724,9.599
1759998187.378724,16.593
1759998187.4290283,5.775
1759998187.4290283,9.626
1759998187.4290283,9.598
1759998187.4290283,16.594
1759998187.4790254,5.776
1759998187.4790254,9.626
1759998187.4790254,9.598
1759998187.4790254,16.595
1759998187.5289621,5.777
1759998187.5289621,9.625
1759998187.5289621,9.597
1759998187.5289621,16.595
1759998187.5794067,5.774
1759998187.5794067,9.626
1759998187.5794067,9.597
1759998187.5794067,16.592
1759998187.6293807,5.774
1759998187.6293807,9.626
1759998187.6293807,9.597
1759998187.6293807,16.594
1759998187.6794305,5.774
1759998187.6794305,9.624
1759998187.6794305,9.597
1759998187.6794305,16.593
1759998187.7292407,5.775
1759998187.7292407,9.626
1759998187.7292407,9.598
1759998187.7292407,16.593
1759998187.779467,5.775
1759998187.779467,9.625
1759998187.779467,9.597
1759998187.779467,16.596
1759998187.8301802,5.774
1759998187.8301802,9.627
1759998187.8301802,9.598
1759998187.8301802,16.595
1759998187.8800147,5.774
1759998187.8800147,9.627
1759998187.8800147,9.599
1759998187.8800147,16.594
1759998187.9298823,5.774
1759998187.9298823,9.626
1759998187.9298823,9.598
1759998187.9298823,16.593
1759998187.9795437,5.774
1759998187.9795437,9.627
1759998187.9795437,9.598
1759998187.9795437,16.593
1759998188.0290937,5.774
1759998188.0290937,9.625
1759998188.0290937,9.596
1759998188.0290937,16.593
1759998188.0784385,5.774
1759998188.0784385,9.626
1759998188.0784385,9.598
1759998188.0784385,16.593
1759998188.1287723,5.774
1759998188.1287723,9.627
1759998188.1287723,9.599
1759998188.1287723,16.594
1759998188.178867,5.776
1759998188.178867,9.626
1759998188.178867,9.599
1759998188.178867,16.593
1759998188.2287323,5.775
1759998188.2287323,9.628
1759998188.2287323,9.6
1759998188.2287323,16.593
1759998188.2794354,5.776
1759998188.2794354,9.627
1759998188.2794354,9.599
1759998188.2794354,16.596
1759998188.3298771,5.775
1759998188.3298771,9.627
1759998188.3298771,9.599
1759998188.3298771,16.594
1759998188.3793464,5.775
1759998188.3793464,9.627
1759998188.3793464,9.599
1759998188.3793464,16.594
1759998188.4289827,5.776
1759998188.4289827,9.627
1759998188.4289827,9.599
1759998188.4289827,16.595
1759998188.4789717,5.775
1759998188.4789717,9.627
1759998188.4789717,9.599
1759998188.4789717,16.594
1759998188.5287766,5.776
1759998188.5287766,9.627
1759998188.5287766,9.599
1759998188.5287766,16.593
1759998188.5789068,5.775
1759998188.5789068,9.626
1759998188.5789068,9.597
1759998188.5789068,16.594
1759998188.6287153,5.774
1759998188.6287153,9.627
1759998188.6287153,9.599
1759998188.6287153,16.595
1759998188.6787472,5.774
1759998188.6787472,9.627
1759998188.6787472,9.599
1759998188.6787472,16.594
1759998188.7288647,5.774
1759998188.7288647,9.627
1759998188.7288647,9.598
1759998188.7288647,16.595
1759998188.7789307,5.774
1759998188.7789307,9.626
1759998188.7789307,9.597
1759998188.7789307,16.593
1759998188.8288815,5.774
1759998188.8288815,9.628
1759998188.8288815,9.599
1759998188.8288815,16.593
1759998188.878436,5.774
1759998188.878436,9.628
1759998188.878436,9.599
1759998188.878436,16.594
1759998188.9283435,5.775
1759998188.9283435,9.627
1759998188.9283435,9.599
1759998188.9283435,16.594
1759998188.978492,5.774
1759998188.978492,9.626
1759998188.978492,9.598
1759998188.978492,16.594
1759998189.0290456,5.774
1759998189.0290456,9.627
1759998189.0290456,9.598
1759998189.0290456,16.593
1759998189.079094,5.775
1759998189.079094,9.627
1759998189.079094,9.599
1759998189.079094,16.593
1759998189.1293476,5.775
1759998189.1293476,9.628
1759998189.1293476,9.599
1759998189.1293476,16.594
1759998189.180336,5.774
