timestamp,rcs
1759998185.7297435,-1.7
1759998185.7297435,-3.3
1759998185.7297435,-3.3
1759998185.7297435,-3.5
1759998185.7792048,-1.7
1759998185.7792048,-3.4
1759998185.7792048,-3.4
1759998185.7792048,-3.4
1759998185.8290763,-1.7
1759998185.8290763,-3.7
1759998185.8290763,-3.7
1759998185.8290763,-3.6
1759998185.8788366,-1.7
1759998185.8788366,-3.4
1759998185.8788366,-3.4
1759998185.8788366,-3.5
1759998185.9289305,-1.7
1759998185.9289305,-3.5
1759998185.9289305,-3.5
1759998185.9289305,-3.5
1759998185.979141,-1.7
1759998185.979141,-3.6
1759998185.979141,-3.6
1759998185.979141,-3.6
1759998186.028737,-1.7
1759998186.028737,-3.4
1759998186.028737,-3.4
1759998186.028737,-3.2
1759998186.0785487,-1.7
1759998186.0785487,-3.3
1759998186.0785487,-3.3
1759998186.0785487,-3.5
1759998186.1293123,-1.8
1759998186.1293123,-3.6
1759998186.1293123,-3.6
1759998186.1293123,-3.5
1759998186.1808596,-1.8
1759998186.1808596,-3.6
1759998186.1808596,-3.6
1759998186.1808596,-3.5
1759998186.2303498,-1.8
1759998186.2303498,-3.5
1759998186.2303498,-3.5
1759998186.2303498,-3.7
1759998186.2797477,-1.8
1759998186.2797477,-3.7
1759998186.2797477,-3.7
1759998186.2797477,-3.5
1759998186.3291543,-1.8
1759998186.3291543,-3.5
1759998186.3291543,-3.5
1759998186.3291543,-3.7
1759998186.37923,-1.8
1759998186.37923,-3.5
1759998186.37923,-3.5
1759998186.37923,-3.5
1759998186.4291632,-1.8
1759998186.4291632,-3.6
1759998186.4291632,-3.6
1759998186.4291632,-3.6
1759998186.4790812,-1.8
1759998186.4790812,-3.5
1759998186.4790812,-3.5
1759998186.4790812,-3.4
1759998186.5288105,-1.8
1759998186.5288105,-3.7
1759998186.5288105,-3.7
1759998186.5288105,-3.5
1759998186.5788996,-1.8
1759998186.5788996,-3.5
1759998186.5788996,-3.5
1759998186.5788996,-3.2
1759998186.6290197,-1.8
1759998186.6290197,-3.6
1759998186.6290197,-3.6
1759998186.6290197,-3.4
1759998186.678913,-1.8
1759998186.678913,-3.8
1759998186.678913,-3.8
1759998186.678913,-3.4
1759998186.7290483,-1.8
1759998186.7290483,-3.6
1759998186.7290483,-3.6
1759998186.7290483,-3.2
1759998186.7796886,-1.8
1759998186.7796886,-3.7
1759998186.7796886,-3.7
1759998186.7796886,-3.3
1759998186.8291857,-1.7
1759998186.8291857,-3.5
1759998186.8291857,-3.5
1759998186.8291857,-3.2
1759998186.8789558,-1.8
1759998186.8789558,-3.5
1759998186.8789558,-3.5
1759998186.8789558,-3.3
1759998186.929142,-1.8
1759998186.929142,-3.5
1759998186.929142,-3.5
