timestamp,y
1759998198.4281633,0.383
1759998198.5275035,0.263
1759998198.5275035,0.173
1759998198.627553,0.277
1759998198.7774498,0.097
1759998198.7774498,0.173
1759998198.7774498,0.098
1759998198.8764615,0.298
1759998198.9762537,0.09
1759998199.0766544,0.225
1759998199.0766544,-0.036
1759998199.1268532,0.213
1759998199.2762127,0.016
1759998199.2762127,-0.078
1759998199.426487,0.001
1759998199.5273192,-0.003
1759998199.6771154,-0.036
1759998199.7271626,0.359
1759998199.7271626,-0.011
1759998199.7271626,-0.169
1759998199.776704,0.364
1759998200.2267082,-0.055
1759998200.9273355,0.376
1759998200.977459,0.384
1759998201.0270035,0.386
1759998201.0772142,1.098
1759998201.177813,0.366
1759998201.177813,1.243
1759998201.177813,-0.098
1759998201.2772353,0.053
1759998201.2772353,-0.818
1759998201.3774235,1.118
1759998201.4273722,0.366
1759998201.4776242,0.373
1759998201.5273607,-0.093
1759998201.6275065,0.377
1759998201.8276327,1.166
1759998201.8276327,1.183
1759998202.5277555,0.23
1759998202.578016,0.219
1759998202.6795945,0.264
1759998202.6795945,1.086
1759998202.728733,0.275
1759998202.728733,1.101
1759998202.8282309,-1.101
1759998202.978051,0.233
1759998203.0779364,0.19
1759998203.3780005,-0.255
1759998203.6787117,-0.063
1759998203.8284204,-0.301
1759998204.1788492,1.349
1759998204.2783155,-0.454
1759998204.5780315,-0.493
1759998204.728383,-0.472
1759998205.0280304,-0.509
1759998205.3284822,-0.528
1759998205.5783045,-0.528
1759998205.8282485,-0.463
1759998205.8783207,-0.568
1759998205.9286337,-0.384
1759998206.2783165,-0.289
1759998207.0785143,1.178
1759998207.1286247,-0.388
1759998207.3277555,-0.316
1759998207.778297,-1.081
1759998208.2782571,-0.856
1759998208.2782571,-0.535
1759998209.1284251,-0.634
1759998209.278113,-0.282
1759998210.0285385,-0.055
1759998211.8279734,-0.356
1759998212.1275187,-0.421
1759998214.2285545,1.052
1759998214.2285545,0.007
1759998217.8284328,1.027
1759998219.428142,1.14
1759998219.428142,-0.259
1759998219.9783607,-0.379
1759998220.7280223,-0.334
1759998221.128205,-0.368
1759998221.4281332,1.018
1759998221.4281332,-0.176
1759998222.2284117,0.444
1759998224.8783522,0.981
1759998224.9779558,-0.292
1759998225.0275857,-0.448
1759998225.4284375,-0.43
1759998229.328751,-1.078
1759998229.328751,-0.227
1759998229.4784439,-1.019
1759998229.7787309,0.863
1759998230.0283597,-0.111
1759998230.3283064,0.195
1759998230.3780975,0.196
1759998230.4280155,-1.054
1759998230.4280155,0.182
1759998230.4280155,-0.068
1759998230.4789608,-0.713
1759998230.5288088,-0.778
1759998230.9783778,-0.104
1759998231.1297271,-0.984
1759998231.2287345,0.286
1759998231.6786404,0.24
1759998231.728301,0.193
1759998231.7783518,0.205
1759998231.8280818,0.209
1759998231.8777063,0.193
1759998232.4787931,0.196
1759998232.5281675,0.225
1759998232.9785454,0.251
1759998232.9785454,0.621
1759998233.1789858,0.836
1759998233.2795663,0.373
1759998233.3787768,0.375
1759998233.3787768,0.819
1759998233.428322,1.179
1759998233.4779646,0.37
1759998233.5279071,1.2
1759998233.5779593,0.368
1759998233.5779593,-0.422
1759998233.828902,1.129
1759998233.8783062,1.108
1759998234.027781,0.364
1759998234.1279323,0.364
1759998234.8276157,-0.804
1759998234.9273431,-1.191
1759998234.9777231,-0.997
1759998235.080109,-0.335
1759998235.1297767,0.248
1759998235.1796224,0.433
1759998235.1796224,0.273
1759998235.2790754,0.116
1759998235.2790754,-0.846
1759998235.3784807,0.1
1759998235.3784807,0.381
1759998235.4284995,0.391
