timestamp,rcs
1759998198.4281633,0.2
1759998198.5275035,-0.5
1759998198.5275035,0.7
1759998198.627553,-0.4
1759998198.7774498,0.7
1759998198.7774498,-0.5
1759998198.7774498,-0.5
1759998198.8764615,0.0
1759998198.9762537,-0.4
1759998199.0766544,0.9
1759998199.0766544,-0.5
1759998199.1268532,-0.8
1759998199.2762127,-1.4
1759998199.2762127,-1.4
1759998199.426487,0.3
1759998199.5273192,1.0
1759998199.6771154,0.7
1759998199.7271626,-0.7
1759998199.7271626,0.7
1759998199.7271626,0.7
1759998199.776704,-0.7
1759998200.2267082,-1.4
1759998200.9273355,-1.1
1759998200.977459,-0.9
1759998201.0270035,-1.3
1759998201.0772142,0.4
1759998201.177813,-1.5
1759998201.177813,0.3
1759998201.177813,-1.0
1759998201.2772353,-1.5
1759998201.2772353,-1.5
1759998201.3774235,-0.8
1759998201.4273722,-0.8
1759998201.4776242,-1.1
1759998201.5273607,-0.9
1759998201.6275065,-1.2
1759998201.8276327,0.2
1759998201.8276327,0.5
1759998202.5277555,0.3
1759998202.578016,-1.3
1759998202.6795945,-1.0
1759998202.6795945,-0.7
1759998202.728733,-1.1
1759998202.728733,0.4
1759998202.8282309,-0.4
1759998202.978051,-1.1
1759998203.0779364,-1.0
1759998203.3780005,0.0
1759998203.6787117,0.8
1759998203.8284204,-0.4
1759998204.1788492,0.1
1759998204.2783155,-0.2
1759998204.5780315,0.9
1759998204.728383,-0.9
1759998205.0280304,-1.0
1759998205.3284822,-0.3
1759998205.5783045,-0.5
1759998205.8282485,-0.4
1759998205.8783207,-0.5
1759998205.9286337,-1.5
1759998206.2783165,0.3
1759998207.0785143,0.1
1759998207.1286247,0.8
1759998207.3277555,-1.4
1759998207.778297,0.6
1759998208.2782571,-1.3
1759998208.2782571,-0.3
1759998209.1284251,-0.3
1759998209.278113,-0.2
1759998210.0285385,-1.3
1759998211.8279734,-0.5
1759998212.1275187,-0.4
1759998214.2285545,-1.4
1759998214.2285545,-1.4
1759998217.8284328,-0.1
1759998219.428142,0.3
1759998219.428142,0.3
1759998219.9783607,0.6
1759998220.7280223,0.4
1759998221.128205,-0.9
1759998221.4281332,-1.4
1759998221.4281332,-1.4
1759998222.2284117,-1.5
1759998224.8783522,0.0
1759998224.9779558,-0.8
1759998225.0275857,0.7
1759998225.4284375,-0.9
1759998229.328751,-0.3
1759998229.328751,-0.5
1759998229.4784439,0.3
1759998229.7787309,0.5
1759998230.0283597,-1.1
1759998230.3283064,-1.5
1759998230.3780975,-1.3
1759998230.4280155,-0.9
1759998230.4280155,-1.1
1759998230.4280155,-0.7
1759998230.4789608,-0.3
1759998230.5288088,0.4
1759998230.9783778,-1.4
1759998231.1297271,-0.4
1759998231.2287345,-1.3
1759998231.6786404,-1.5
1759998231.728301,-1.5
1759998231.7783518,-1.0
1759998231.8280818,-0.8
1759998231.8777063,-1.2
1759998232.4787931,-1.1
1759998232.5281675,-0.2
1759998232.9785454,-1.3
1759998232.9785454,-0.7
1759998233.1789858,-0.9
1759998233.2795663,-0.5
1759998233.3787768,-0.5
1759998233.3787768,-0.9
1759998233.428322,-0.4
1759998233.4779646,-1.1
1759998233.5279071,-1.3
1759998233.5779593,-0.9
1759998233.5779593,-1.1
1759998233.828902,-0.7
1759998233.8783062,-1.0
1759998234.027781,-0.0
1759998234.1279323,-1.0
1759998234.8276157,-1.1
1759998234.9273431,-1.4
1759998234.9777231,1.0
1759998235.080109,-1.5
1759998235.1297767,0.6
1759998235.1796224,-0.2
1759998235.1796224,-0.2
1759998235.2790754,-1.0
1759998235.2790754,-1.0
1759998235.3784807,-0.6
1759998235.3784807,-1.0
1759998235.4284995,-1.3
