timestamp,snr
1759998185.7297435,44.6
1759998185.7297435,36.0
1759998185.7297435,36.0
1759998185.7297435,27.9
1759998185.7792048,44.6
1759998185.7792048,35.9
1759998185.7792048,35.9
1759998185.7792048,28.0
1759998185.8290763,44.6
1759998185.8290763,35.6
1759998185.8290763,35.6
1759998185.8290763,27.7
1759998185.8788366,44.6
1759998185.8788366,35.9
1759998185.8788366,35.9
1759998185.8788366,27.8
1759998185.9289305,44.5
1759998185.9289305,35.7
1759998185.9289305,35.7
1759998185.9289305,27.8
1759998185.979141,44.6
1759998185.979141,35.7
1759998185.979141,35.7
1759998185.979141,27.8
1759998186.028737,44.6
1759998186.028737,35.9
1759998186.028737,35.9
1759998186.028737,28.1
1759998186.0785487,44.5
1759998186.0785487,35.9
1759998186.0785487,35.9
1759998186.0785487,27.8
1759998186.1293123,44.4
1759998186.1293123,35.5
1759998186.1293123,35.5
1759998186.1293123,27.8
1759998186.1808596,44.4
1759998186.1808596,35.6
1759998186.1808596,35.6
1759998186.1808596,27.8
1759998186.2303498,44.5
1759998186.2303498,35.7
1759998186.2303498,35.7
1759998186.2303498,27.6
1759998186.2797477,44.5
1759998186.2797477,35.6
1759998186.2797477,35.6
1759998186.2797477,27.8
1759998186.3291543,44.5
1759998186.3291543,35.9
1759998186.3291543,35.9
1759998186.3291543,27.7
1759998186.37923,44.5
1759998186.37923,35.7
1759998186.37923,35.7
1759998186.37923,27.8
1759998186.4291632,44.4
1759998186.4291632,35.6
1759998186.4291632,35.6
1759998186.4291632,27.6
1759998186.4790812,44.5
1759998186.4790812,35.8
1759998186.4790812,35.8
1759998186.4790812,28.0
1759998186.5288105,44.5
1759998186.5288105,35.6
1759998186.5288105,35.6
1759998186.5288105,27.8
1759998186.5788996,44.5
1759998186.5788996,35.8
1759998186.5788996,35.8
1759998186.5788996,28.2
1759998186.6290197,44.4
1759998186.6290197,35.6
1759998186.6290197,35.6
1759998186.6290197,27.9
1759998186.678913,44.5
1759998186.678913,35.5
1759998186.678913,35.5
1759998186.678913,27.9
1759998186.7290483,44.5
1759998186.7290483,35.7
1759998186.7290483,35.7
1759998186.7290483,28.1
1759998186.7796886,44.6
1759998186.7796886,35.7
1759998186.7796886,35.7
1759998186.7796886,28.1
1759998186.8291857,44.5
1759998186.8291857,35.7
1759998186.8291857,35.7
1759998186.8291857,28.1
1759998186.8789558,44.4
1759998186.8789558,35.8
1759998186.8789558,35.8
1759998186.8789558,28.1
1759998186.929142,44.5
1759998186.929142,35.8
1759998186.929142,35.8
1759998186.929142,28.0
1759998186.9790294,44.4
1759998186.9790294,35.7
1759998186.9790294,35.7
1759998186.9790294,28.0
1759998187.0287237,44.3
1759998187.0287237,35.5
1759998187.0287237,35.5
1759998187.0287237,27.6
1759998187.0785418,44.5
1759998187.0785418,35.8
1759998187.0785418,35.8
1759998187.0785418,28.2
1759998187.1290362,44.5
1759998187.1290362,35.6
1759998187.1290362,35.6
1759998187.1290362,28.0
1759998187.1799052,44.5
1759998187.1799052,35.8
1759998187.1799052,35.8
1759998187.1799052,28.1
1759998187.2298062,44.4
1759998187.2298062,35.9
1759998187.2298062,35.9
1759998187.2298062,28.0
1759998187.279257,44.3
1759998187.279257,35.7
1759998187.279257,35.7
1759998187.279257,28.0
1759998187.3289316,44.6
1759998187.3289316,35.8
1759998187.3289316,35.8
1759998187.3289316,27.9
1759998187.378724,44.2
1759998187.378724,35.5
1759998187.378724,35.5
1759998187.378724,27.8
1759998187.4290283,44.4
1759998187.4290283,35.7
1759998187.4290283,35.7
1759998187.4290283,27.9
1759998187.4790254,44.2
1759998187.4790254,35.5
1759998187.4790254,35.5
1759998187.4790254,28.0
1759998187.5289621,44.4
1759998187.5289621,35.6
1759998187.5289621,35.6
1759998187.5289621,27.9
