timestamp,y
1759998185.7297435,0.369
1759998185.7297435,0.095
1759998185.7297435,-0.822
1759998185.7297435,0.24
1759998185.7792048,0.369
1759998185.7792048,0.095
1759998185.7792048,-0.822
1759998185.7792048,0.24
1759998185.8290763,0.369
1759998185.8290763,0.094
1759998185.8290763,-0.821
1759998185.8290763,0.242
1759998185.8788366,0.369
1759998185.8788366,0.094
1759998185.8788366,-0.823
1759998185.8788366,0.241
1759998185.9289305,0.368
1759998185.9289305,0.095
1759998185.9289305,-0.823
1759998185.9289305,0.243
1759998185.979141,0.369
1759998185.979141,0.095
1759998185.979141,-0.821
1759998185.979141,0.242
1759998186.028737,0.368
1759998186.028737,0.094
1759998186.028737,-0.824
1759998186.028737,0.245
1759998186.0785487,0.369
1759998186.0785487,0.094
1759998186.0785487,-0.822
1759998186.0785487,0.243
1759998186.1293123,0.369
1759998186.1293123,0.095
1759998186.1293123,-0.824
1759998186.1293123,0.238
1759998186.1808596,0.369
1759998186.1808596,0.095
1759998186.1808596,-0.824
1759998186.1808596,0.244
1759998186.2303498,0.368
1759998186.2303498,0.094
1759998186.2303498,-0.823
1759998186.2303498,0.245
1759998186.2797477,0.368
1759998186.2797477,0.094
1759998186.2797477,-0.824
1759998186.2797477,0.242
1759998186.3291543,0.368
1759998186.3291543,0.093
1759998186.3291543,-0.823
1759998186.3291543,0.241
1759998186.37923,0.368
1759998186.37923,0.094
1759998186.37923,-0.824
1759998186.37923,0.241
1759998186.4291632,0.368
1759998186.4291632,0.095
1759998186.4291632,-0.821
1759998186.4291632,0.245
1759998186.4790812,0.368
1759998186.4790812,0.095
1759998186.4790812,-0.823
1759998186.4790812,0.241
1759998186.5288105,0.369
1759998186.5288105,0.095
1759998186.5288105,-0.821
1759998186.5288105,0.244
1759998186.5788996,0.369
1759998186.5788996,0.094
1759998186.5788996,-0.823
1759998186.5788996,0.243
1759998186.6290197,0.369
1759998186.6290197,0.094
1759998186.6290197,-0.822
1759998186.6290197,0.242
1759998186.678913,0.368
1759998186.678913,0.095
1759998186.678913,-0.823
1759998186.678913,0.244
1759998186.7290483,0.369
1759998186.7290483,0.095
1759998186.7290483,-0.823
1759998186.7290483,0.244
1759998186.7796886,0.369
1759998186.7796886,0.094
1759998186.7796886,-0.822
1759998186.7796886,0.241
1759998186.8291857,0.369
1759998186.8291857,0.094
1759998186.8291857,-0.821
1759998186.8291857,0.238
1759998186.8789558,0.369
1759998186.8789558,0.095
1759998186.8789558,-0.822
1759998186.8789558,0.243
1759998186.929142,0.369
1759998186.929142,0.095
1759998186.929142,-0.823
1759998186.929142,0.24
1759998186.9790294,0.368
1759998186.9790294,0.095
1759998186.9790294,-0.823
