timestamp,z
1759998198.4281633,-0.059
1759998198.5275035,-0.135
1759998198.5275035,-0.019
1759998198.627553,-0.114
1759998198.7774498,-0.114
1759998198.7774498,-0.106
1759998198.7774498,-0.122
1759998198.8764615,0.075
1759998198.9762537,-0.163
1759998199.0766544,-0.008
1759998199.0766544,-0.096
1759998199.1268532,-0.034
1759998199.2762127,0.136
1759998199.2762127,0.126
1759998199.426487,0.041
1759998199.5273192,-0.354
1759998199.6771154,0.165
1759998199.7271626,-0.26
1759998199.7271626,-0.234
1759998199.7271626,-0.259
1759998199.776704,-0.108
1759998200.2267082,-0.186
1759998200.9273355,-0.17
1759998200.977459,-0.144
1759998201.0270035,-0.223
1759998201.0772142,1.817
1759998201.177813,0.011
1759998201.177813,-0.447
1759998201.177813,-0.014
1759998201.2772353,0.954
1759998201.2772353,0.85
1759998201.3774235,1.544
1759998201.4273722,0.319
1759998201.4776242,-0.007
1759998201.5273607,-0.154
1759998201.6275065,-0.115
1759998201.8276327,1.743
1759998201.8276327,-0.589
1759998202.5277555,-0.007
1759998202.578016,0.432
1759998202.6795945,-0.228
1759998202.6795945,-0.992
1759998202.728733,0.003
1759998202.728733,-0.69
1759998202.8282309,0.655
1759998202.978051,0.208
1759998203.0779364,-0.475
1759998203.3780005,-0.044
1759998203.6787117,-0.124
1759998203.8284204,0.128
1759998204.1788492,1.79
1759998204.2783155,0.131
1759998204.5780315,-0.379
1759998204.728383,-0.723
1759998205.0280304,-0.052
1759998205.3284822,-0.18
1759998205.5783045,-0.423
1759998205.8282485,-0.091
1759998205.8783207,0.567
1759998205.9286337,-0.965
1759998206.2783165,-0.108
1759998207.0785143,-0.371
1759998207.1286247,0.451
1759998207.3277555,0.164
1759998207.778297,-0.906
1759998208.2782571,-0.332
1759998208.2782571,-0.481
1759998209.1284251,-0.776
1759998209.278113,0.297
1759998210.0285385,-0.874
1759998211.8279734,1.874
1759998212.1275187,1.582
1759998214.2285545,-0.649
1759998214.2285545,-0.929
1759998217.8284328,0.236
1759998219.428142,1.144
1759998219.428142,0.602
1759998219.9783607,1.048
1759998220.7280223,-0.937
1759998221.128205,1.013
1759998221.4281332,0.899
1759998221.4281332,0.538
1759998222.2284117,-0.486
1759998224.8783522,1.414
1759998224.9779558,-0.265
1759998225.0275857,1.241
1759998225.4284375,-0.175
1759998229.328751,-0.227
1759998229.328751,-0.608
1759998229.4784439,-0.85
1759998229.7787309,-0.975
1759998230.0283597,-0.449
1759998230.3283064,0.571
1759998230.3780975,0.125
1759998230.4280155,-0.212
1759998230.4280155,0.233
1759998230.4280155,-0.94
1759998230.4789608,1.741
1759998230.5288088,1.071
1759998230.9783778,-0.501
1759998231.1297271,-0.288
1759998231.2287345,0.028
1759998231.6786404,-0.232
1759998231.728301,-0.176
1759998231.7783518,-0.147
1759998231.8280818,-0.129
1759998231.8777063,-0.14
1759998232.4787931,-0.075
1759998232.5281675,-0.346
1759998232.9785454,0.061
1759998232.9785454,-0.503
1759998233.1789858,1.841
1759998233.2795663,-0.035
1759998233.3787768,-0.149
1759998233.3787768,-0.017
1759998233.428322,1.314
1759998233.4779646,-0.167
1759998233.5279071,0.113
1759998233.5779593,0.038
1759998233.5779593,-0.525
1759998233.828902,1.438
1759998233.8783062,1.363
1759998234.027781,-0.107
1759998234.1279323,-0.548
1759998234.8276157,-0.813
1759998234.9273431,-0.54
1759998234.9777231,0.605
1759998235.080109,0.305
1759998235.1297767,-0.017
1759998235.1796224,-0.043
1759998235.1796224,-0.087
1759998235.2790754,1.442
1759998235.2790754,1.224
1759998235.3784807,1.172
1759998235.3784807,0.016
1759998235.4284995,-0.249
