elapsed_seconds,cpuTemp,cpuTime
0.000092,39.6,47670884.0
1.010581,39.9,48721072.0
2.025166,39.7,49720168.0
3.034519,39.8,50721188.0
4.041764,39.7,52018164.0
5.327746,39.6,54020840.0
7.360755,39.8,55070800.0
8.375787,40.0,56072508.0
9.384752,39.9,57071144.0
10.391772,39.8,58071564.0
11.401708,40.1,60071328.0
13.381782,40.3,61070960.0
14.392747,40.0,62069188.0
15.403240,39.9,65069920.0
18.394755,40.1,66070940.0
19.406208,39.9,67070920.0
20.416689,40.2,68121920.0
21.429843,40.3,69121024.0
22.437566,40.2,70121560.0
23.446360,40.1,71119720.0
24.457767,40.1,72170008.0
25.472766,39.9,73170072.0
26.483253,40.5,74170544.0
27.491588,40.1,75169432.0
28.500093,40.0,76169232.0
29.509488,40.3,77220784.0
30.524744,40.0,78220080.0
31.533752,40.3,79220496.0
32.541369,40.3,80220368.0
33.549765,40.0,81219912.0
34.560498,40.4,82270320.0
35.576150,40.2,83268112.0
36.585607,40.4,84269752.0
37.591562,40.2,85270488.0
38.600631,40.6,86269152.0
39.610643,40.5,87320072.0
40.625769,40.2,88319840.0
41.635029,40.1,89319544.0
42.641949,40.4,90320192.0
43.651999,40.4,91319760.0
44.663295,40.4,92369888.0
45.678671,40.4,93370088.0
46.687117,40.4,95119784.0
48.467095,40.3,97169464.0
50.495013,40.6,98169536.0
51.506150,40.4,99169520.0
52.516899,40.3,100219904.0
53.530424,40.5,101219512.0
54.538773,40.7,102219496.0
55.546440,40.4,103219472.0
56.558692,40.9,104267992.0
57.574136,40.9,105268736.0
58.583239,40.7,106269136.0
59.591779,40.5,107269176.0
60.601415,40.7,108269808.0
61.612029,40.7,109320608.0
62.627938,40.2,110319384.0
63.636549,40.4,111320376.0
64.644355,40.3,112320200.0
65.654643,40.7,113320040.0
66.665160,41.1,114369632.0
67.679109,40.8,115370616.0
68.687919,40.8,116369080.0
69.695484,40.4,117368664.0
70.707329,40.6,118369112.0
71.717752,40.7,119419064.0
72.730400,40.7,120419648.0
73.736738,40.9,121418576.0
74.744156,40.5,122419152.0
75.752746,40.6,123420048.0
76.762303,41.1,124469528.0
77.776763,41.1,125468496.0
78.785098,40.8,126468696.0
79.791766,,
85.799744,,
91.805771,41.1,142569488.0
95.878750,40.9,143568784.0
96.886755,40.6,144568720.0
97.893564,40.9,145570208.0
98.902347,41.3,146569936.0
99.912313,41.1,147617424.0
100.927777,40.9,148620016.0
101.936971,41.1,149618640.0
102.945465,41.4,150619392.0
103.956454,41.2,151618384.0
104.966901,41.2,152668800.0
105.980084,40.9,153670784.0
106.987446,41.3,154669840.0
107.993495,41.1,155668224.0
109.001308,41.3,156669392.0
110.012662,41.3,157719584.0
111.027444,41.2,158720464.0
112.036915,41.4,159718352.0
113.044762,41.6,160719008.0
114.055433,41.6,161718928.0
115.066365,40.9,162768736.0
116.080620,41.4,163769072.0
117.087778,41.6,164768880.0
118.095422,41.7,165768816.0
119.106247,41.4,166768480.0
120.114812,41.4,167818400.0
121.130121,41.4,168819168.0
122.138232,41.5,169818752.0
123.145633,41.3,170818816.0
124.156984,41.6,171817408.0
125.168003,41.5,172866640.0
126.180036,41.6,173867136.0
127.188144,41.5,174866624.0
128.195590,41.3,175866704.0
129.206123,41.4,176868960.0
130.216193,41.6,177916480.0
131.229405,41.5,178916672.0
132.237305,41.5,179917120.0
133.245797,41.2,180917968.0
134.255937,41.6,181917392.0
135.265276,41.9,182966736.0
136.279558,41.2,183967792.0
137.288548,41.5,184966848.0
138.297767,41.6,185968528.0
139.309515,41.5,187016928.0
140.325562,,
146.335614,,
152.343535,41.9,202068240.0
155.390345,41.6,203069120.0
156.397879,41.7,204068192.0
157.409701,41.7,205069872.0
158.419583,41.7,206119088.0
159.432890,41.8,207116592.0
160.440525,41.7,208116944.0
161.448829,42.1,209118864.0
162.460265,42.0,210166080.0
163.475507,41.6,211166208.0
164.485605,42.0,212166560.0
165.494127,42.2,213167744.0
166.501749,42.0,214165968.0
167.512615,41.8,215217536.0
168.526765,41.8,216216064.0
169.536025,42.2,217216816.0
170.543945,42.2,218216992.0
171.552392,42.3,219216976.0
172.562221,42.0,220266144.0
173.577566,42.0,221268896.0
174.586783,42.4,222268768.0
175.594461,42.1,223268400.0
176.602389,42.3,224268544.0
177.612990,42.0,225317984.0
178.627769,42.3,226318448.0
179.637813,42.1,227317840.0
180.645894,42.2,228318128.0
181.654563,42.1,229318448.0
182.664651,42.0,230368976.0
183.678793,42.1,231367952.0
184.688070,42.2,232368480.0
185.696102,42.4,233368048.0
186.704562,42.2,234368128.0
187.714927,42.3,235417936.0
188.731064,42.4,236418384.0
189.739479,42.1,237416640.0
190.748118,42.2,238416784.0
191.759357,42.3,239416656.0
192.771567,42.4,240466096.0
193.780770,42.7,241468208.0
194.789304,42.3,242467168.0
195.798495,42.3,243467936.0
196.809976,42.5,244468032.0
197.827361,42.3,245518080.0
198.837602,42.5,246518512.0
199.845338,42.5,247519600.0
200.853243,42.3,248518640.0
201.863095,41.9,249567184.0
202.878037,42.5,250568864.0
203.888026,42.3,251568400.0
204.895932,42.3,252566896.0
205.904081,42.3,253567776.0
206.914601,42.8,254619312.0
207.930956,42.3,255617824.0
208.940344,42.5,256617696.0
209.946743,42.4,257617664.0
210.954744,42.9,258617552.0
211.965619,42.3,259668048.0
212.979759,42.4,260667904.0
213.987745,42.7,261667680.0
214.993748,42.3,262666336.0
216.002621,42.6,263666080.0
217.013943,42.5,264717136.0
218.030523,42.6,265717360.0
219.039489,42.8,266716928.0
220.047621,43.0,267717504.0
221.057193,42.6,268716992.0
222.066550,42.6,269767936.0
223.081451,42.6,270768096.0
224.088748,42.5,271767072.0
225.096261,42.6,272767808.0
226.105781,42.8,273769120.0
227.114742,42.9,274817664.0
228.129478,42.7,275816736.0
229.139146,42.7,276819744.0
230.147213,42.8,277816928.0
231.158995,43.0,278817920.0
232.168755,42.8,279866752.0
233.183116,42.6,280867968.0
234.192161,43.1,281867840.0
235.200064,42.8,282867712.0
236.212745,42.6,283867136.0
237.223140,42.8,284917920.0
238.235258,42.9,285916896.0
239.243760,43.0,286917600.0
240.251936,43.0,287916960.0
241.264278,43.2,288967904.0
242.280265,42.9,289968416.0
243.289894,42.8,290967808.0
244.296786,42.6,291966912.0
245.304267,42.8,292967616.0
246.316902,43.0,294018496.0
247.331739,42.9,295017824.0
248.340576,43.2,296017152.0
249.348577,42.8,297017024.0
250.359102,43.0,298016896.0
251.368897,43.5,299067680.0
252.382762,43.0,300067584.0
253.391612,43.0,301068576.0
254.399295,43.0,302068224.0
255.410738,42.9,303067680.0
256.420095,42.8,304117216.0
257.434211,43.3,305117632.0
258.440789,42.8,306118784.0
259.447765,43.0,307117408.0
260.455763,43.0,308119040.0
261.465775,43.3,309168128.0
262.479791,42.7,310166080.0
263.488773,43.0,311167776.0
264.495751,43.0,312166752.0
265.502770,43.3,313167360.0
266.514756,43.3,314217568.0
267.529746,42.8,315218336.0
268.538798,43.5,316217024.0
269.546743,43.7,317217792.0
270.553849,43.0,318217472.0
271.564752,43.3,319267360.0
272.579747,43.4,320267776.0
273.588746,43.3,321266304.0
274.595748,43.2,322268224.0
275.602764,43.1,323266880.0
276.614745,42.9,324266752.0
277.628750,43.3,325316704.0
278.637790,42.9,326316448.0
279.644769,43.2,327316608.0
280.652599,43.1,328317024.0
281.662773,43.3,329316128.0
282.673973,43.3,330366560.0
283.684764,43.3,331367104.0
284.691777,43.1,332367104.0
285.698155,43.4,333367584.0
286.705157,43.3,334367360.0
287.716838,43.4,335415040.0
288.730771,43.3,336417472.0
289.740763,43.4,337416928.0
290.747776,43.4,338417152.0
291.756025,43.7,339417952.0
292.765743,43.3,340466912.0
293.779773,43.0,341467200.0
294.788972,43.2,342466240.0
295.795796,43.3,343466912.0
296.803377,43.5,344466656.0
297.815742,43.5,345467232.0
298.830773,43.1,346516640.0
299.839954,43.5,347516736.0
300.846782,43.3,348516128.0
301.855187,,
307.863757,,
313.870768,43.5,364616672.0
317.951753,43.5,365616096.0
318.962764,43.4,366615840.0
319.971765,43.7,367666112.0
320.985740,43.7,368666464.0
321.993023,44.1,369666848.0
322.999765,43.8,370666176.0
324.009424,43.5,371666528.0
325.017746,43.8,372716896.0
326.031803,43.7,373716864.0
