elapsed_seconds,cpuTemp,cpuTime
0.000110,0.0,0.0
1.007975,0.0,0.0
2.014804,56.8,9753516.0
3.023374,57.6,10753175.0
4.033957,57.7,11803564.0
5.048781,57.7,12803960.0
6.058652,57.9,13802981.0
7.066667,58.2,14803729.0
8.076057,58.0,15803834.0
9.086749,58.1,16853700.0
10.101209,58.0,17853512.0
11.108926,58.4,18853138.0
12.115944,58.6,20452878.0
13.700025,58.1,21453686.0
14.709494,58.2,22453014.0
15.718033,58.1,23453572.0
16.726851,58.4,24453138.0
17.735959,58.2,25502960.0
18.750174,58.4,26502630.0
19.759242,58.3,27503618.0
20.767075,58.3,28753046.0
22.008959,58.4,29753004.0
23.016943,58.3,30753226.0
24.025321,58.5,32753458.0
26.008622,58.4,33753056.0
27.015961,58.3,34753416.0
28.022915,58.6,35753064.0
29.029918,58.3,36753736.0
30.038172,58.3,37803724.0
31.052855,58.1,38803560.0
32.061932,58.5,41202584.0
34.481779,58.3,42203704.0
35.491031,58.4,43252864.0
36.505110,58.4,44753592.0
38.008307,58.2,45752744.0
39.016125,58.1,46752856.0
40.022955,58.1,47753036.0
41.033668,58.8,48753612.0
42.043300,58.4,49803888.0
43.054937,58.7,50802964.0
44.063199,58.3,52751696.0
46.007288,58.0,53751516.0
47.014777,58.4,54751424.0
48.022466,58.2,56752168.0
50.007551,58.6,57751544.0
51.014602,58.3,58752516.0
52.020994,58.5,59751520.0
53.029183,58.1,60751508.0
54.039265,58.1,61802540.0
55.052461,58.4,62803672.0
56.062640,58.3,64752740.0
58.008932,58.0,65752684.0
59.016483,58.5,66752724.0
60.023928,58.1,67752224.0
61.032232,58.3,68752672.0
62.042127,58.4,69803504.0
63.056232,58.2,70802976.0
64.065147,58.4,72752216.0
66.009746,58.2,73752800.0
67.017055,58.2,74752976.0
68.025224,58.5,75752056.0
69.033555,57.9,76752712.0
70.041923,58.0,77803104.0
71.056047,58.4,78803104.0
72.065304,58.5,80752712.0
74.011050,58.1,81752728.0
75.017937,58.1,82752968.0
76.025920,58.3,83752528.0
77.036027,58.3,85302360.0
78.597287,58.2,87352608.0
80.628296,58.1,88352912.0
81.638170,58.6,89352088.0
82.647717,58.2,90402104.0
83.658127,58.1,91402952.0
84.666745,58.3,92402704.0
85.674594,58.6,93402512.0
86.683094,58.4,94402880.0
87.693344,58.1,95452408.0
88.707517,58.4,96452616.0
89.716125,58.2,97452600.0
90.724986,58.4,98452360.0
91.733580,58.2,99452584.0
92.743463,58.1,100502088.0
93.757928,58.2,101502744.0
94.765936,58.5,102502464.0
95.774716,57.8,103502368.0
96.783151,58.3,104502944.0
97.793058,58.0,105552736.0
98.807037,58.4,106552056.0
99.816144,58.0,107552400.0
100.823940,58.1,108552344.0
101.831925,58.1,109552456.0
102.841305,58.0,110602096.0
103.855073,58.3,111602504.0
104.864726,58.1,112602456.0
105.871805,58.1,113602200.0
106.879553,58.1,114602048.0
107.890531,58.3,115601824.0
108.903957,58.1,116652408.0
109.913629,58.1,117652576.0
110.921669,57.9,118652232.0
111.929988,58.1,119651960.0
112.939754,58.0,120652496.0
113.948953,58.1,121702712.0
114.961883,58.1,122701976.0
115.969867,58.0,123702512.0
116.978075,58.0,124702376.0
117.987879,58.0,125702376.0
118.996105,58.1,126752632.0
120.009750,57.9,127752096.0
121.018960,57.9,128751800.0
122.026920,57.9,129752032.0
123.034482,58.0,130752752.0
124.044577,58.0,131802824.0
125.058532,58.0,132802832.0
126.068438,57.9,133802728.0
127.076967,58.0,134802832.0
128.084644,58.1,135802368.0
129.095062,57.9,136852176.0
130.107919,58.2,137851888.0
131.116935,57.9,138851856.0
132.124200,58.0,139852096.0
133.132392,58.0,140852048.0
134.140956,57.7,141852496.0
135.150159,57.9,142901968.0
136.162614,58.1,143901856.0
137.169922,58.2,144902032.0
138.177069,57.9,145901984.0
139.185113,57.7,146902592.0
140.195402,58.0,147951664.0
141.209583,58.1,148952272.0
142.219893,58.0,149952352.0
143.227538,58.1,150951936.0
144.236208,57.9,151952032.0
145.246436,57.9,153001760.0
146.260963,57.9,154001968.0
147.269942,57.8,155001872.0
148.277336,58.2,156002080.0
149.285503,57.8,157001536.0
150.295461,57.9,158051936.0
151.309552,57.8,159051664.0
152.319938,58.1,160051472.0
153.328991,57.8,161052400.0
154.337219,57.8,162051904.0
155.346956,57.9,163101888.0
156.362075,57.8,164101648.0
157.370510,57.8,165102000.0
158.378673,58.2,166101744.0
159.388910,58.1,167101776.0
